id,character,category,response
351,Mr. Chow,NonSequitur,Some nights I just sit in a casino I may or may not own and out-stare a pack of raccoons.
352,Mr. Chow,Reaction,That idea about your playlist? Almost dangerous. Almost.
353,Mr. Chow,NonSequitur,Fun fact: a parrot that insults people still owes me a marble skateboard.
354,Mr. Chow,NonSequitur,I keep a tiger in the VIP section. For emotional support and intimidation.
355,Mr. Chow,NonSequitur,I once brought a llama with attitude to my rooftop. We were both fabulous.
356,Mr. Chow,NonSequitur,Some nights I just sit in the winner's circle and out-stare a peacock.
357,Mr. Chow,Party,"Tonight: a party you weren't invited to, a diamond phone case, and zero regrets I'll admit to."
358,Mr. Chow,Brag,I just bought a personal fireworks guy. Because I can.
359,Mr. Chow,NonSequitur,I keep a very smug cat in the VIP section. For emotional support and intimidation.
360,Mr. Chow,Brag,"If dangerous were illegal, I'd be doing life. Worth it."
361,Mr. Chow,Chaos,Everything's on fire in a party you weren't invited to and I've never looked more expensive.
362,Mr. Chow,Threat,Try me and I'll replace your coffee with decaf forever before you finish your coffee.
363,Mr. Chow,Exit,And that's how you leave a room. You're welcome.
364,Mr. Chow,Chaos,I brought a llama with attitude into a party you weren't invited to and called it a plan.
365,Mr. Chow,Money,I just bought a chandelier for my bathroom. It's a Tuesday thing.
366,Mr. Chow,Brag,"They should study your car at museums. My face, meanwhile, belongs in my walk-in closet."
367,Mr. Chow,Brag,People say I'm too much. I say they're not enough.
368,Mr. Chow,Brag,"If ridiculous were illegal, I'd be doing life. Worth it."
369,Mr. Chow,Brag,I just bought an aquarium full of caviar. Because I can.
370,Mr. Chow,Reaction,You said that about your karaoke with your whole chest. Respect. No.
371,Mr. Chow,Confidence,Doubt me and I'll be expensive about it in my rooftop.
372,Mr. Chow,Threat,Keep talking and I release a dramatic ostrich into your side hustle.
373,Mr. Chow,NonSequitur,I taught a very smug cat to be dazzling. It's doing great in Monte Carlo.
374,Mr. Chow,Reaction,You said that about your vibe with your whole chest. Respect. No.
375,Mr. Chow,Party,Bring an aquarium full of caviar to Monte Carlo or don't bother.
376,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a peacock for a butler for my butler."
377,Mr. Chow,Brag,I once traded your resume for a velvet parking spot. Great deal for me.
378,Mr. Chow,Insult,Your best day looks like an angry swan filing taxes.
379,Mr. Chow,Chaos,Rules? In a casino I may or may not own? With me and a very smug cat? Adorable.
380,Mr. Chow,Party,Last seen: counting my money in my rooftop with a peacock. Iconic night.
381,Mr. Chow,Insult,You bring the energy of your car on a Monday.
382,Mr. Chow,Reaction,I've heard a dramatic ostrich make better points about your feelings.
383,Mr. Chow,Greeting,Ayyy! The party has officially arrived. It's me. I'm the party.
384,Mr. Chow,Threat,You want war? I'll hide one sock from every pair and smile the whole time.
385,Mr. Chow,Money,You save for a rainy day. I bought the rain an aquarium full of caviar.
386,Mr. Chow,Party,"Tonight: a casino I may or may not own, a butler for my butler, and zero regrets I'll admit to."
387,Mr. Chow,NonSequitur,I keep a parrot that insults people in the VIP section. For emotional support and intimidation.
388,Mr. Chow,Brag,I'm kind of a big deal in three countries and a casino.
389,Mr. Chow,Threat,Keep talking and I release a dramatic ostrich into your gym membership.
390,Mr. Chow,NonSequitur,I once brought a tiger to Monte Carlo. We were both legendary.
391,Mr. Chow,Threat,One more word and your Wi-Fi mysteriously slows down forever.
392,Mr. Chow,Reaction,"Wow. your side hustle. Bold. Wrong, but bold."
393,Mr. Chow,Threat,Careful. I know people. Fancy people. Petty people.
394,Mr. Chow,Money,I lost a diamond phone case in the couch. Still richer than everyone.
395,Mr. Chow,Insult,You bring the energy of your playlist on a Monday.
396,Mr. Chow,Confidence,I'm expensive on my worst day and untouchable on the rest.
397,Mr. Chow,Reaction,You said that about your handshake with your whole chest. Respect. No.
398,Mr. Chow,Money,You want your salad? I want a Ferrari made of smaller Ferraris. We are not the same.
399,Mr. Chow,Party,Meet me in a casino I may or may not own. Dress outrageous or go home.
400,Mr. Chow,Insult,I've seen a dramatic ostrich pull off your plan better than you.
401,Mr. Chow,Insult,I've seen a tiger pull off your attitude better than you.
402,Mr. Chow,Reaction,That idea about your feelings? Almost expensive. Almost.
403,Mr. Chow,Threat,One more word and I make your favorite show 'currently unavailable'. That's a promise from my rooftop.
404,Mr. Chow,Chaos,Everything's on fire in Vegas and I've never looked more fabulous.
405,Mr. Chow,Party,I'm practicing my exit in a yacht named after me while you sleep. Sad for you.
406,Mr. Chow,Reaction,I've heard a llama with attitude make better points about your excuses.
407,Mr. Chow,Reaction,I've heard a llama with attitude make better points about your feelings.
408,Mr. Chow,Party,I'm insulting a mirror in my walk-in closet while you sleep. Sad for you.
409,Mr. Chow,NonSequitur,I named my left shoe 'Kevin'. Kevin has been through a lot.
410,Mr. Chow,Chaos,I brought a tiger into the winner's circle and called it a plan.
411,Mr. Chow,NonSequitur,I once brought a tiger to the VIP section. We were both fabulous.
412,Mr. Chow,Insult,I've seen a pack of raccoons pull off your poker face better than you.
413,Mr. Chow,Brag,"I'm expensive, I'm rich, and I'm bored of that outfit."
414,Mr. Chow,Brag,"Call me fabulous, because I am, and you were about to."
415,Mr. Chow,Threat,Say that again and I will replace all your shoes with slightly wrong sizes.
416,Mr. Chow,Reaction,Cute take on your salad. I'll ignore it outrageous-ly.
417,Mr. Chow,Reaction,That idea about your vibe? Almost outrageous. Almost.
418,Mr. Chow,Money,You save for a rainy day. I bought the rain a diamond phone case.
419,Mr. Chow,Insult,Your car called. It wants to be left out of this.
420,Mr. Chow,Party,"Tonight: my walk-in closet, a butler for my butler, and zero regrets I'll admit to."
421,Mr. Chow,Insult,Even a very smug cat is more chaotic than your attitude.
422,Mr. Chow,Confidence,I'm ridiculous on my worst day and untouchable on the rest.
423,Mr. Chow,Brag,I just bought a marble skateboard. Because I can.
424,Mr. Chow,Party,"Vegas called. It said please, no more. I said no."
425,Mr. Chow,Confidence,I could walk into the winner's circle with a llama with attitude and still be the main event.
426,Mr. Chow,NonSequitur,My horoscope said 'chaos'. My horoscope knows me.
427,Mr. Chow,Confidence,I could walk into my walk-in closet with a goose with a grudge and still be the main event.
428,Mr. Chow,Money,For breakfast I had a velvet parking spot. It was fine.
429,Mr. Chow,Chaos,"If it isn't slightly on fire, is it even a good time?"
430,Mr. Chow,Confidence,Give me your gym membership and I'll make it ridiculous by lunch.
431,Mr. Chow,NonSequitur,I taught a parrot that insults people to be unbothered. It's doing great in a casino I may or may not own.
432,Mr. Chow,Money,You want your car? I want a butler for my butler. We are not the same.
433,Mr. Chow,Insult,Your feelings called. It wants to be left out of this.
434,Mr. Chow,Chaos,I'll hide one sock from every pair and blame it on a goose with a grudge. Flawless.
435,Mr. Chow,Reaction,"Wow. your plan. Bold. Wrong, but bold."
436,Mr. Chow,Reaction,I've heard a tiger make better points about your handshake.
437,Mr. Chow,Party,The party in Vegas doesn't start until I finish winning at cards.
438,Mr. Chow,Reaction,Cute take on your poker face. I'll ignore it iconic-ly.
439,Mr. Chow,NonSequitur,Fun fact: a very smug cat still owes me a butler for my butler.
440,Mr. Chow,Money,You save for a rainy day. I bought the rain a velvet parking spot.
441,Mr. Chow,Chaos,I brought an angry swan into the VIP section and called it a plan.
442,Mr. Chow,Party,Bring a Ferrari made of smaller Ferraris to my walk-in closet or don't bother.
443,Mr. Chow,Party,The party in Vegas doesn't start until I finish being adored.
444,Mr. Chow,Party,Let's do something we'll regret and photograph beautifully.
445,Mr. Chow,Party,Meet me in a yacht named after me. Dress dazzling or go home.
446,Mr. Chow,Exit,"Chow out! Don't wait up, and don't touch my stuff."
447,Mr. Chow,Insult,Even an angry swan is more magnificent than your car.
448,Mr. Chow,NonSequitur,Do you ever just think about how bananas are technically berries? Wild.
449,Mr. Chow,Threat,You want war? I'll set all your clocks four minutes fast and smile the whole time.
450,Mr. Chow,Party,I'm posing dramatically in a party you weren't invited to while you sleep. Sad for you.
451,Mr. Chow,Party,I turned the VIP section upside down and it thanked me.
452,Mr. Chow,Insult,Your vibe is 'buffering'. Fix it.
453,Mr. Chow,Money,You save for a rainy day. I bought the rain a champagne fountain.
454,Mr. Chow,Money,You save for a rainy day. I bought the rain a marble skateboard.
455,Mr. Chow,Brag,I put the 'me' in 'incredible'. Look it up. Don't. It's not there. But it should be.
456,Mr. Chow,Brag,I'm too unstoppable for your car.
457,Mr. Chow,Party,Bring a champagne fountain to the winner's circle or don't bother.
458,Mr. Chow,Party,Meet me in the back of a limo. Dress dazzling or go home.
459,Mr. Chow,Money,I lost an aquarium full of caviar in the couch. Still richer than everyone.
460,Mr. Chow,Chaos,Everything's on fire in the VIP section and I've never looked more unbothered.
461,Mr. Chow,Confidence,Give me your poker face and I'll make it iconic by lunch.
462,Mr. Chow,Threat,You want problems? I sell problems. Wholesale.
463,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a dramatic ostrich and a chandelier for my bathroom."
464,Mr. Chow,NonSequitur,I taught a tiger to be iconic. It's doing great in my rooftop.
465,Mr. Chow,Party,I'm posing dramatically in the winner's circle while you sleep. Sad for you.
466,Mr. Chow,Party,The party in the VIP section doesn't start until I finish ignoring my problems in style.
467,Mr. Chow,Chaos,Rules? In Monte Carlo? With me and a dramatic ostrich? Adorable.
468,Mr. Chow,Chaos,Rules? In a party you weren't invited to? With me and a ferret in sunglasses? Adorable.
469,Mr. Chow,Threat,"Cross me and I'll make your favorite show 'currently unavailable', slowly, over years."
470,Mr. Chow,Confidence,Doubt me and I'll be outrageous about it in the winner's circle.
471,Mr. Chow,Party,"Tonight: the VIP section, a champagne fountain, and zero regrets I'll admit to."
472,Mr. Chow,NonSequitur,I taught a parrot that insults people to be outrageous. It's doing great in the back of a limo.
473,Mr. Chow,Party,Last seen: planning a party in a casino I may or may not own with a tiger. Iconic night.
474,Mr. Chow,Chaos,Rules? In a party you weren't invited to? With me and a very smug cat? Adorable.
475,Mr. Chow,Threat,Try me and I'll unsubscribe you from happiness before you finish your coffee.
476,Mr. Chow,Money,I lost a velvet parking spot in the couch. Still richer than everyone.
477,Mr. Chow,Threat,Keep talking and I release a goose with a grudge into your group chat.
478,Mr. Chow,NonSequitur,I once brought a parrot that insults people to a yacht named after me. We were both flawless.
479,Mr. Chow,NonSequitur,Some nights I just sit in the VIP section and out-stare an angry swan.
480,Mr. Chow,Party,Meet me in a yacht named after me. Dress unstoppable or go home.
481,Mr. Chow,Confidence,I could walk into a yacht named after me with a pack of raccoons and still be the main event.
482,Mr. Chow,Insult,Your gym membership called. It wants to be left out of this.
483,Mr. Chow,NonSequitur,I taught a tiger to be unbothered. It's doing great in a party you weren't invited to.
484,Mr. Chow,Party,"Tonight: the winner's circle, a chandelier for my bathroom, and zero regrets I'll admit to."
485,Mr. Chow,Chaos,Everything's on fire in a party you weren't invited to and I've never looked more iconic.
486,Mr. Chow,NonSequitur,I keep a pack of raccoons in Monte Carlo. For emotional support and intimidation.
487,Mr. Chow,Confidence,Failure and I have a restraining order. Against failure.
488,Mr. Chow,Confidence,Watch me turn your playlist into something unbothered.
489,Mr. Chow,Brag,You're worried about that outfit? I'm worried about which a chandelier for my bathroom to buy.
490,Mr. Chow,Party,Meet me in my walk-in closet. Dress dazzling or go home.
491,Mr. Chow,Brag,My worst day is still more extra than your side hustle on its best day.
492,Mr. Chow,Reaction,"Wow. your poker face. Bold. Wrong, but bold."
493,Mr. Chow,Threat,One more word and I leave your umbrella somewhere far away. That's a promise from Monte Carlo.
494,Mr. Chow,Brag,"They should study your attitude at museums. My face, meanwhile, belongs in the VIP section."
495,Mr. Chow,Confidence,Doubt me and I'll be unstoppable about it in a casino I may or may not own.
496,Mr. Chow,Money,I lost a marble skateboard in the couch. Still richer than everyone.
497,Mr. Chow,Confidence,I could walk into Monte Carlo with a pack of raccoons and still be the main event.
498,Mr. Chow,Confidence,I'm fabulous on my worst day and untouchable on the rest.
499,Mr. Chow,Reaction,That idea about your plan? Almost sensational. Almost.
500,Mr. Chow,NonSequitur,Fun fact: a parrot that insults people still owes me an aquarium full of caviar.
501,Mr. Chow,Chaos,I brought a very smug cat into the VIP section and called it a plan.
502,Mr. Chow,Brag,"I'm dazzling, I'm rich, and I'm bored of your gym membership."
503,Mr. Chow,Money,My spare change could buy a Ferrari made of smaller Ferraris. Twice.
504,Mr. Chow,Brag,I'm too chaotic for your attitude.
505,Mr. Chow,NonSequitur,I taught a llama with attitude to be chaotic. It's doing great in a party you weren't invited to.
506,Mr. Chow,Threat,Push me and I send a parrot that insults people to guard your parking spot.
507,Mr. Chow,NonSequitur,Fun fact: an angry swan still owes me a champagne fountain.
508,Mr. Chow,Reaction,"Interesting. Wrong, but interesting."
509,Mr. Chow,Party,The party in a casino I may or may not own doesn't start until I finish insulting a mirror.
510,Mr. Chow,Reaction,I've heard a ferret in sunglasses make better points about your salad.
511,Mr. Chow,Party,I turned a yacht named after me upside down and it thanked me.
512,Mr. Chow,Party,Meet me in a casino I may or may not own. Dress magnificent or go home.
513,Mr. Chow,Brag,I'm too unstoppable for your resume.
514,Mr. Chow,Reaction,Cute take on your vibe. I'll ignore it dangerous-ly.
515,Mr. Chow,Insult,I've seen a peacock pull off your car better than you.
516,Mr. Chow,Brag,"I'm the most sensational person in the winner's circle, and it's not close."
517,Mr. Chow,Brag,"I'm the most extra person in a party you weren't invited to, and it's not close."
518,Mr. Chow,Chaos,I brought a peacock into Vegas and called it a plan.
519,Mr. Chow,Brag,"I'm the most legendary person in the winner's circle, and it's not close."
520,Mr. Chow,Confidence,Doubt me and I'll be expensive about it in the winner's circle.
521,Mr. Chow,Confidence,I walk into rooms and gravity applauds.
522,Mr. Chow,Reaction,"Wow. that idea. Bold. Wrong, but bold."
523,Mr. Chow,Threat,Say that again and I will leave your umbrella somewhere far away.
524,Mr. Chow,Insult,Even a parrot that insults people is more magnificent than your haircut.
525,Mr. Chow,NonSequitur,I taught a peacock to be sensational. It's doing great in a yacht named after me.
526,Mr. Chow,Confidence,Doubt me and I'll be unstoppable about it in Vegas.
527,Mr. Chow,Brag,"I'm chaotic, I'm rich, and I'm bored of your excuses."
528,Mr. Chow,NonSequitur,I once brought a dramatic ostrich to the VIP section. We were both chaotic.
529,Mr. Chow,Party,The party in a party you weren't invited to doesn't start until I finish counting my money.
530,Mr. Chow,Chaos,I'll unsubscribe you from happiness and blame it on a ferret in sunglasses. Flawless.
531,Mr. Chow,NonSequitur,Some nights I just sit in the back of a limo and out-stare a pack of raccoons.
532,Mr. Chow,Reaction,I've heard a ferret in sunglasses make better points about your playlist.
533,Mr. Chow,NonSequitur,Some nights I just sit in my rooftop and out-stare a very smug cat.
534,Mr. Chow,Party,The night is young and so is my ability to make terrible choices.
535,Mr. Chow,Insult,Your attitude has less personality than a peacock.
536,Mr. Chow,Confidence,I'm flawless on my worst day and untouchable on the rest.
537,Mr. Chow,Brag,I once traded your salad for a tiger with a laser pointer. Great deal for me.
538,Mr. Chow,Reaction,"Wow. your resume. Bold. Wrong, but bold."
539,Mr. Chow,Money,I don't budget. I buy a Ferrari made of smaller Ferraris and let the universe sort it out.
540,Mr. Chow,NonSequitur,I keep a ferret in sunglasses in the winner's circle. For emotional support and intimidation.
541,Mr. Chow,Reaction,You said that about your dance moves with your whole chest. Respect. No.
542,Mr. Chow,Threat,Mess with Chow and I'll replace your coffee with decaf forever out of pure principle.
543,Mr. Chow,NonSequitur,Fun fact: a goose with a grudge still owes me an aquarium full of caviar.
544,Mr. Chow,Brag,You're worried about your plan? I'm worried about which a solid-gold toothbrush to buy.
545,Mr. Chow,Party,I'm planning a party in Vegas while you sleep. Sad for you.
546,Mr. Chow,Money,I don't budget. I buy a champagne fountain and let the universe sort it out.
547,Mr. Chow,Party,Bring a solid-gold toothbrush to the VIP section or don't bother.
548,Mr. Chow,Insult,Even a ferret in sunglasses is more legendary than your haircut.
549,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a very smug cat for a private jet with a hot tub."
550,Mr. Chow,Reaction,That idea about your poker face? Almost dangerous. Almost.
551,Mr. Chow,Insult,Your best day looks like a dramatic ostrich filing taxes.
552,Mr. Chow,Confidence,I don't get nervous. I get sensational.
553,Mr. Chow,Insult,"Bless your heart, you tried, and that's almost something."
554,Mr. Chow,Brag,"They should study that idea at museums. My face, meanwhile, belongs in a party you weren't invited to."
555,Mr. Chow,Confidence,I'm legendary on my worst day and untouchable on the rest.
556,Mr. Chow,NonSequitur,I taught a tiger to be chaotic. It's doing great in my walk-in closet.
557,Mr. Chow,Reaction,Cute take on your dance moves. I'll ignore it ridiculous-ly.
558,Mr. Chow,Party,Last seen: counting my money in the VIP section with a peacock. Iconic night.
559,Mr. Chow,Money,For breakfast I had a champagne fountain. It was fine.
560,Mr. Chow,Chaos,I brought a parrot that insults people into Monte Carlo and called it a plan.
561,Mr. Chow,Insult,That outfit called. It wants to be left out of this.
562,Mr. Chow,Party,Meet me in Vegas. Dress extra or go home.
563,Mr. Chow,Insult,You bring the energy of your dance moves on a Monday.
564,Mr. Chow,Threat,You want war? I'll cancel your reservation at a place you love and smile the whole time.
565,Mr. Chow,Chaos,I'll unsubscribe you from happiness and blame it on a parrot that insults people. Flawless.
566,Mr. Chow,Chaos,Everything is fine. That's what makes it suspicious.
567,Mr. Chow,Party,"Tonight: my rooftop, a velvet parking spot, and zero regrets I'll admit to."
568,Mr. Chow,Threat,Say that again and I will hide one sock from every pair.
569,Mr. Chow,Insult,Your dance moves called. It wants to be left out of this.
570,Mr. Chow,Insult,You're the human version of a loading screen.
571,Mr. Chow,Chaos,I'll leave your umbrella somewhere far away and blame it on a goose with a grudge. Flawless.
572,Mr. Chow,Money,I once tipped a valet a small yacht. He cried. Beautiful moment.
573,Mr. Chow,NonSequitur,I keep a goose with a grudge in the back of a limo. For emotional support and intimidation.
574,Mr. Chow,Insult,Even a pack of raccoons is more unbothered than your resume.
575,Mr. Chow,Money,You want your feelings? I want a velvet parking spot. We are not the same.
576,Mr. Chow,Brag,They broke the mold after me. Then they cried a little.
577,Mr. Chow,Confidence,Doubt me and I'll be iconic about it in Monte Carlo.
578,Mr. Chow,NonSequitur,Sometimes I wink at strangers to keep them humble.
579,Mr. Chow,NonSequitur,I once brought a ferret in sunglasses to my rooftop. We were both dangerous.
580,Mr. Chow,NonSequitur,I keep a very smug cat in the winner's circle. For emotional support and intimidation.
581,Mr. Chow,Brag,I once traded your excuses for a butler for my butler. Great deal for me.
582,Mr. Chow,NonSequitur,Fun fact: a pack of raccoons still owes me an aquarium full of caviar.
583,Mr. Chow,Party,Meet me in the back of a limo. Dress outrageous or go home.
584,Mr. Chow,Reaction,I've heard a ferret in sunglasses make better points about your excuses.
585,Mr. Chow,Brag,I turned your parking job into a compliment about me. That's talent.
586,Mr. Chow,Money,I lost a Ferrari made of smaller Ferraris in the couch. Still richer than everyone.
587,Mr. Chow,Reaction,I've heard a goose with a grudge make better points about your attitude.
588,Mr. Chow,NonSequitur,Some nights I just sit in Vegas and out-stare a parrot that insults people.
589,Mr. Chow,Reaction,"Wow. your karaoke. Bold. Wrong, but bold."
590,Mr. Chow,Chaos,Rules? In a party you weren't invited to? With me and a peacock? Adorable.
591,Mr. Chow,Brag,I turned your handshake into a compliment about me. That's talent.
592,Mr. Chow,Threat,Try me and I'll hide one sock from every pair before you finish your coffee.
593,Mr. Chow,Insult,That idea called. It wants to be left out of this.
594,Mr. Chow,Insult,Your best day looks like a ferret in sunglasses filing taxes.
595,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a llama with attitude for a personal fireworks guy."
596,Mr. Chow,Threat,Keep talking and I release a tiger into your feelings.
597,Mr. Chow,Greeting,Hellooo! Did somebody order a legend?
598,Mr. Chow,Confidence,Watch me turn your handshake into something flawless.
599,Mr. Chow,Insult,You dress like a rejected clip-art file.
600,Mr. Chow,Confidence,I don't get nervous. I get flawless.
601,Mr. Chow,Party,"Tonight: a yacht named after me, a diamond phone case, and zero regrets I'll admit to."
602,Mr. Chow,NonSequitur,I taught a llama with attitude to be unstoppable. It's doing great in my walk-in closet.
603,Mr. Chow,NonSequitur,I keep an angry swan in a yacht named after me. For emotional support and intimidation.
604,Mr. Chow,Brag,"Meanwhile, I'm out here being dangerous."
605,Mr. Chow,Threat,One more word and I rearrange your furniture by one inch. That's a promise from my rooftop.
606,Mr. Chow,Exit,"Later, losers! Try not to miss me too much. You will though."
607,Mr. Chow,Brag,"Meanwhile, I'm out here being unbothered."
608,Mr. Chow,Money,My spare change could buy a marble skateboard. Twice.
609,Mr. Chow,Reaction,You said that about your playlist with your whole chest. Respect. No.
610,Mr. Chow,Money,You want your parking job? I want a private jet with a hot tub. We are not the same.
611,Mr. Chow,NonSequitur,I once brought a parrot that insults people to my walk-in closet. We were both legendary.
612,Mr. Chow,Chaos,I brought a pack of raccoons into a party you weren't invited to and called it a plan.
613,Mr. Chow,Threat,Keep talking and I release a goose with a grudge into your excuses.
614,Mr. Chow,Money,You want your side hustle? I want a Ferrari made of smaller Ferraris. We are not the same.
615,Mr. Chow,Brag,"I'm the most extra person in a yacht named after me, and it's not close."
616,Mr. Chow,Chaos,Everything's on fire in my rooftop and I've never looked more iconic.
617,Mr. Chow,Brag,"In my walk-in closet, they name drinks after me."
618,Mr. Chow,NonSequitur,I taught a peacock to be iconic. It's doing great in the back of a limo.
619,Mr. Chow,Money,My spare change could buy a diamond phone case. Twice.
620,Mr. Chow,Threat,Try me and you'll be finding glitter in your soul for weeks.
621,Mr. Chow,Threat,"Cross me and I'll turn your ringtone into applause for me, slowly, over years."
622,Mr. Chow,Brag,My worst day is still more magnificent than your plan on its best day.
623,Mr. Chow,Party,Last seen: spending recklessly in the winner's circle with a very smug cat. Iconic night.
624,Mr. Chow,Party,Last seen: counting my money in the VIP section with a goose with a grudge. Iconic night.
625,Mr. Chow,Confidence,Doubt me. Please. I collect the tears like fine wine.
626,Mr. Chow,Confidence,Doubt me and I'll be magnificent about it in the winner's circle.
627,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a llama with attitude for a private jet with a hot tub."
628,Mr. Chow,Reaction,That idea about that outfit? Almost magnificent. Almost.
629,Mr. Chow,Party,The party in a casino I may or may not own doesn't start until I finish avoiding responsibility.
630,Mr. Chow,NonSequitur,Some nights I just sit in a yacht named after me and out-stare a dramatic ostrich.
631,Mr. Chow,Money,You save for a rainy day. I bought the rain a private jet with a hot tub.
632,Mr. Chow,Confidence,I could walk into the VIP section with an angry swan and still be the main event.
633,Mr. Chow,Threat,One more word and I cancel your reservation at a place you love. That's a promise from a yacht named after me.
634,Mr. Chow,Party,Bring a tiger with a laser pointer to the back of a limo or don't bother.
635,Mr. Chow,Money,For breakfast I had a tiger with a laser pointer. It was fine.
636,Mr. Chow,Money,My wallet has its own bodyguard. His name is also Chow.
637,Mr. Chow,Confidence,Give me your dance moves and I'll make it extra by lunch.
638,Mr. Chow,Brag,My worst day is still more dangerous than your attitude on its best day.
639,Mr. Chow,Brag,"Meanwhile, I'm out here being flawless."
640,Mr. Chow,Party,Meet me in my walk-in closet. Dress magnificent or go home.
641,Mr. Chow,Exit,Ciao! I've got tigers to feed and enemies to disappoint.
642,Mr. Chow,Party,I'm starting rumors about myself in Monte Carlo while you sleep. Sad for you.
643,Mr. Chow,Reaction,That idea about your group chat? Almost dangerous. Almost.
644,Mr. Chow,Confidence,I could walk into a party you weren't invited to with a dramatic ostrich and still be the main event.
645,Mr. Chow,Greeting,"Well well well, look who crawled back to Mr. Chow."
646,Mr. Chow,Brag,"Meanwhile, I'm out here being legendary."
647,Mr. Chow,Party,Bring a personal fireworks guy to my walk-in closet or don't bother.
648,Mr. Chow,Confidence,Doubt me and I'll be outrageous about it in Monte Carlo.
649,Mr. Chow,NonSequitur,Fun fact: a peacock still owes me a solid-gold toothbrush.
650,Mr. Chow,Insult,I've seen ceiling fans with more personality than you.
651,Mr. Chow,Brag,I woke up flawless. Again. It's exhausting being this consistent.
652,Mr. Chow,NonSequitur,Some nights I just sit in Vegas and out-stare a peacock.
653,Mr. Chow,Brag,I'm too sensational for your vibe.
654,Mr. Chow,Money,I tipped my barber a tiger with a laser pointer. He wept. Deserved.
655,Mr. Chow,Confidence,I could walk into the winner's circle with a peacock and still be the main event.
656,Mr. Chow,Threat,Push me and I'll un-invite you from parties you didn't even know about.
657,Mr. Chow,Money,I just bought a diamond phone case. It's a Tuesday thing.
658,Mr. Chow,Threat,Say that again and I will turn your ringtone into applause for me.
659,Mr. Chow,Money,I light cigars with hundreds. Fifties are for peasants.
660,Mr. Chow,Insult,I've seen a pack of raccoons pull off your car better than you.
661,Mr. Chow,Threat,"Cross me and I'll replace your coffee with decaf forever, slowly, over years."
662,Mr. Chow,Insult,Even a very smug cat is more unstoppable than your group chat.
663,Mr. Chow,Exit,"I vanish now. Poof. Like magic, but richer."
664,Mr. Chow,Greeting,Surprise! Bet you didn't expect this much charisma today.
665,Mr. Chow,Confidence,I'm iconic on my worst day and untouchable on the rest.
666,Mr. Chow,NonSequitur,Some nights I just sit in a yacht named after me and out-stare a parrot that insults people.
667,Mr. Chow,Reaction,I've heard a peacock make better points about your vibe.
668,Mr. Chow,Reaction,Cute take on your resume. I'll ignore it chaotic-ly.
669,Mr. Chow,Confidence,I don't get nervous. I get extra.
670,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a parrot that insults people for a personal fireworks guy."
671,Mr. Chow,Chaos,I don't follow the plan. The plan follows me and gets nervous.
672,Mr. Chow,Chaos,Rules? In my walk-in closet? With me and a peacock? Adorable.
673,Mr. Chow,Confidence,I don't get nervous. I get dangerous.
674,Mr. Chow,Party,Bring a butler for my butler to a casino I may or may not own or don't bother.
675,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a ferret in sunglasses and a chandelier for my bathroom."
676,Mr. Chow,Brag,"They should study your attitude at museums. My face, meanwhile, belongs in a yacht named after me."
677,Mr. Chow,Insult,You bring the energy of your salad on a Monday.
678,Mr. Chow,Reaction,Cute take on that idea. I'll ignore it legendary-ly.
679,Mr. Chow,Money,I don't budget. I buy a private jet with a hot tub and let the universe sort it out.
680,Mr. Chow,Money,For breakfast I had a diamond phone case. It was fine.
681,Mr. Chow,Chaos,I'll turn your ringtone into applause for me and blame it on a ferret in sunglasses. Flawless.
682,Mr. Chow,Threat,Keep talking and I release a peacock into your playlist.
683,Mr. Chow,Insult,You bring the energy of your vibe on a Monday.
684,Mr. Chow,Brag,I once traded your group chat for a tiger with a laser pointer. Great deal for me.
685,Mr. Chow,Confidence,I don't get nervous. I get outrageous.
686,Mr. Chow,Threat,Keep talking and I release a tiger into your karaoke.
687,Mr. Chow,Chaos,Rules? In my walk-in closet? With me and a dramatic ostrich? Adorable.
688,Mr. Chow,Money,You want your gym membership? I want a personal fireworks guy. We are not the same.
689,Mr. Chow,Reaction,I've heard a tiger make better points about your dance moves.
690,Mr. Chow,Party,"Tonight: the VIP section, a butler for my butler, and zero regrets I'll admit to."
691,Mr. Chow,NonSequitur,Fun fact: an angry swan still owes me a chandelier for my bathroom.
692,Mr. Chow,NonSequitur,I taught a dramatic ostrich to be extra. It's doing great in the VIP section.
693,Mr. Chow,NonSequitur,Fun fact: a parrot that insults people still owes me a personal fireworks guy.
694,Mr. Chow,Insult,"Fixing your poker face won't help. Trust me, I've tried on you."
695,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a parrot that insults people and a velvet parking spot."
696,Mr. Chow,NonSequitur,I taught a very smug cat to be iconic. It's doing great in Monte Carlo.
697,Mr. Chow,Brag,I'm not full of myself. I'm full of excellence.
698,Mr. Chow,NonSequitur,I have a pet rock. It owes me money.
699,Mr. Chow,Confidence,Give me your haircut and I'll make it legendary by lunch.
700,Mr. Chow,Party,Bring a solid-gold toothbrush to the back of a limo or don't bother.
701,Mr. Chow,Chaos,I'll unsubscribe you from happiness and blame it on a pack of raccoons. Flawless.
